iter	Passed	Remaining
0	134	134785
1	136	68153
2	137	45801
3	139	34639
4	140	27935
5	141	23416
6	141	20141
7	142	17680
8	143	15756
9	143	14231
10	145	13040
11	145	11991
12	146	11098
13	146	10352
14	148	9729
15	149	9177
16	150	8675
17	150	8236
18	151	7824
19	152	7473
20	153	7155
21	154	6858
22	155	6591
23	156	6351
24	156	6114
25	157	5892
26	158	5695
27	158	5503
28	159	5324
29	159	5164
30	160	5012
31	160	4864
32	161	4732
33	162	4630
34	163	4508
35	164	4393
36	164	4284
37	165	4180
38	165	4085
39	166	3991
40	166	3902
41	167	3819
42	168	3739
43	168	3661
44	169	3588
45	170	3542
46	171	3481
47	172	3418
48	173	3358
49	174	3313
50	175	3270
51	176	3215
52	176	3162
53	177	3109
54	178	3060
55	178	3011
56	179	2964
57	179	2920
58	180	2880
59	181	2844
60	182	2807
61	183	2774
62	183	2735
63	184	2702
64	185	2667
65	186	2633
66	186	2600
67	187	2571
68	188	2541
69	189	2513
70	189	2484
71	190	2454
72	191	2427
73	191	2399
74	192	2372
75	193	2346
76	193	2321
77	194	2296
78	194	2271
79	195	2246
80	195	2223
81	196	2204
82	197	2180
83	198	2159
84	198	2139
85	200	2125
86	200	2106
87	201	2086
88	201	2066
89	202	2047
90	203	2031
91	204	2014
92	204	1997
93	205	1979
94	206	1962
95	206	1945
96	207	1929
97	207	1913
98	208	1897
99	209	1881
100	209	1867
101	210	1851
102	210	1836
103	211	1826
104	212	1812
105	213	1798
106	213	1784
107	214	1770
108	214	1757
109	215	1745
110	216	1732
111	217	1720
112	217	1708
113	218	1695
114	218	1683
115	219	1674
116	220	1662
117	220	1650
118	221	1639
119	222	1628
120	222	1618
121	223	1606
122	223	1595
123	224	1585
124	225	1575
125	225	1565
126	226	1554
127	227	1547
128	227	1537
129	228	1528
130	228	1518
131	229	1509
132	230	1500
133	230	1491
134	231	1484
135	232	1475
136	232	1466
137	233	1458
138	234	1449
139	234	1442
140	235	1434
141	235	1424
142	236	1417
143	237	1408
144	237	1400
145	238	1393
146	238	1386
147	239	1378
148	240	1371
149	240	1363
150	241	1356
151	242	1350
152	242	1343
153	243	1335
154	243	1329
155	244	1322
156	244	1315
157	245	1308
158	246	1301
159	246	1294
160	246	1287
161	247	1280
162	248	1273
163	248	1267
164	249	1261
165	249	1255
166	250	1249
167	251	1243
168	251	1237
169	252	1231
170	252	1225
171	253	1219
172	253	1213
173	254	1208
174	255	1202
175	255	1197
176	256	1192
177	257	1187
178	257	1182
179	258	1177
180	259	1172
181	259	1167
182	260	1163
183	261	1158
184	261	1153
185	262	1148
186	263	1144
187	263	1139
188	264	1135
189	265	1131
190	266	1126
191	266	1122
192	267	1117
193	268	1113
194	268	1108
195	269	1104
196	269	1100
197	270	1096
198	271	1092
199	272	1088
200	272	1084
201	273	1081
202	274	1077
203	275	1074
204	276	1071
205	276	1067
206	277	1064
207	278	1060
208	279	1056
209	280	1053
210	280	1050
211	281	1046
212	282	1043
213	283	1039
214	283	1036
215	285	1034
216	285	1031
217	286	1028
218	287	1025
219	288	1022
220	289	1019
221	289	1016
222	290	1013
223	291	1009
224	292	1006
225	292	1003
226	293	999
227	294	996
228	295	993
229	295	989
230	296	986
231	297	983
232	297	980
233	298	976
234	299	973
235	300	971
236	300	968
237	301	965
238	302	963
239	303	960
240	304	957
241	304	954
242	305	952
243	306	949
244	307	946
245	308	944
246	308	941
247	309	939
248	310	936
249	311	933
250	311	930
251	312	928
252	313	926
253	314	923
254	315	920
255	315	917
256	316	915
257	317	912
258	318	910
259	318	907
260	319	904
261	320	902
262	320	899
263	321	896
264	322	893
265	322	891
266	323	888
267	324	886
268	325	883
269	325	880
270	326	878
271	327	875
272	327	873
273	328	870
274	329	868
275	330	865
276	330	863
277	331	860
278	332	858
279	332	856
280	333	853
281	334	851
282	335	848
283	335	846
284	336	844
285	337	841
286	337	839
287	338	836
288	339	834
289	339	832
290	340	830
291	341	827
292	342	825
293	343	823
294	343	821
295	344	819
296	345	817
297	345	814
298	346	812
299	347	810
300	348	808
301	349	806
302	349	804
303	350	802
304	351	800
305	351	798
306	352	796
307	353	793
308	354	791
309	354	789
310	355	787
311	356	785
312	356	783
313	357	781
314	358	779
315	359	777
316	359	775
317	360	773
318	361	771
319	361	769
320	362	767
321	363	765
322	364	763
323	364	761
324	365	759
325	366	757
326	367	755
327	367	753
328	368	751
329	368	749
330	369	747
331	370	745
332	371	743
333	371	741
334	372	739
335	373	737
336	373	735
337	374	733
338	375	731
339	376	730
340	376	728
341	377	726
342	378	724
343	378	722
344	379	720
345	380	718
346	381	717
347	381	715
348	382	713
349	383	711
350	383	709
351	384	708
352	385	706
353	386	704
354	386	702
355	387	701
356	388	699
357	388	697
358	389	695
359	390	694
360	391	692
361	391	690
362	392	688
363	393	686
364	393	685
365	394	683
366	395	681
367	395	679
368	396	678
369	397	676
370	398	674
371	398	673
372	399	671
373	400	670
374	401	668
375	401	666
376	402	665
377	403	663
378	403	661
379	404	660
380	405	658
381	405	656
382	406	655
383	407	653
384	408	652
385	409	650
386	409	649
387	410	647
388	411	645
389	411	643
390	412	642
391	413	640
392	413	639
393	414	637
394	415	636
395	415	634
396	416	632
397	417	631
398	418	629
399	418	628
400	419	626
401	420	624
402	420	623
403	421	621
404	422	620
405	423	619
406	423	617
407	424	616
408	425	614
409	426	613
410	426	611
411	427	610
412	428	609
413	429	607
414	429	606
415	430	604
416	431	603
417	432	601
418	432	600
419	433	598
420	434	597
421	434	595
422	435	594
423	436	592
424	437	591
425	437	589
426	438	588
427	438	586
428	439	585
429	440	583
430	441	582
431	442	582
432	443	580
433	444	579
434	445	578
435	445	576
436	446	575
437	447	573
438	447	572
439	448	571
440	449	569
441	450	568
442	451	567
443	452	566
444	453	564
445	453	563
446	454	562
447	455	560
448	455	559
449	456	558
450	457	556
451	458	555
452	458	554
453	459	552
454	460	551
455	461	550
456	461	548
457	462	547
458	463	546
459	464	544
460	464	543
461	465	541
462	466	540
463	466	539
464	467	538
465	468	536
466	469	535
467	469	534
468	470	532
469	471	531
470	472	530
471	472	529
472	473	527
473	474	526
474	475	525
475	475	523
476	476	522
477	477	521
478	477	519
479	478	518
480	479	517
481	480	516
482	480	514
483	481	513
484	482	512
485	483	511
486	483	509
487	484	508
488	485	507
489	486	505
490	486	504
491	487	503
492	488	502
493	488	500
494	489	499
495	490	498
496	491	496
497	491	495
498	492	494
499	493	493
500	494	492
501	494	490
502	495	489
503	496	488
504	496	486
505	497	485
506	498	484
507	499	483
508	499	482
509	500	480
510	501	479
511	502	478
512	502	477
513	503	475
514	504	474
515	504	473
516	505	472
517	506	471
518	507	469
519	507	468
520	508	467
521	509	466
522	510	465
523	510	464
524	511	462
525	512	461
526	513	460
527	513	459
528	514	458
529	515	457
530	515	455
531	516	454
532	517	453
533	518	452
534	519	451
535	519	450
536	520	448
537	521	447
538	522	446
539	522	445
540	523	444
541	524	443
542	525	442
543	526	440
544	526	439
545	527	438
546	528	437
547	529	436
548	530	435
549	530	434
550	531	433
551	532	432
552	533	430
553	533	429
554	534	428
555	535	427
556	536	426
557	536	425
558	537	424
559	538	422
560	539	421
561	539	420
562	540	419
563	541	418
564	541	417
565	542	416
566	543	414
567	544	413
568	544	412
569	545	411
570	546	410
571	547	409
572	547	408
573	548	407
574	549	405
575	549	404
576	550	403
577	551	402
578	552	401
579	552	400
580	553	399
581	554	398
582	555	397
583	555	395
584	556	394
585	557	393
586	557	392
587	558	391
588	559	390
589	560	389
590	561	388
591	561	387
592	562	386
593	563	384
594	563	383
595	564	382
596	565	381
597	565	380
598	566	379
599	567	378
600	567	377
601	568	375
602	569	374
603	570	373
604	570	372
605	571	371
606	572	370
607	572	369
608	573	368
609	574	367
610	575	366
611	575	365
612	576	363
613	577	362
614	577	361
615	578	360
616	579	359
617	579	358
618	580	357
619	581	356
620	581	355
621	582	354
622	583	353
623	584	352
624	584	350
625	585	349
626	586	348
627	587	347
628	587	346
629	588	345
630	589	344
631	589	343
632	590	342
633	591	341
634	592	340
635	592	339
636	593	338
637	594	337
638	595	336
639	595	335
640	596	334
641	597	333
642	598	332
643	598	330
644	599	329
645	600	328
646	600	327
647	601	326
648	602	325
649	603	324
650	603	323
651	604	322
652	605	321
653	605	320
654	606	319
655	607	318
656	607	317
657	608	316
658	609	315
659	610	314
660	610	313
661	611	312
662	612	311
663	613	310
664	613	309
665	614	308
666	615	307
667	615	306
668	616	305
669	617	304
670	618	303
671	618	302
672	619	300
673	620	299
674	620	298
675	621	297
676	622	296
677	623	295
678	623	294
679	624	293
680	625	292
681	625	291
682	626	290
683	627	289
684	627	288
685	628	287
686	629	286
687	630	285
688	630	284
689	631	283
690	632	282
691	633	281
692	633	280
693	634	279
694	635	278
695	635	277
696	636	276
697	637	275
698	637	274
699	638	273
700	639	272
701	640	271
702	640	270
703	641	269
704	642	268
705	642	267
706	643	266
707	644	265
708	645	264
709	645	263
710	646	262
711	647	261
712	648	260
713	648	259
714	649	258
715	650	257
716	650	256
717	651	255
718	652	254
719	652	253
720	653	252
721	654	252
722	655	251
723	655	250
724	656	249
725	657	248
726	658	247
727	658	246
728	659	245
729	660	244
730	660	243
731	661	242
732	662	241
733	663	240
734	663	239
735	664	238
736	665	237
737	666	236
738	666	235
739	667	234
740	668	233
741	669	232
742	670	231
743	670	230
744	671	229
745	672	228
746	673	227
747	673	226
748	674	226
749	675	225
750	675	224
751	676	223
752	677	222
753	677	221
754	678	220
755	679	219
756	680	218
757	680	217
758	681	216
759	682	215
760	682	214
761	683	213
762	684	212
763	684	211
764	685	210
765	686	209
766	686	208
767	687	207
768	688	206
769	688	205
770	689	204
771	690	203
772	690	202
773	691	201
774	692	200
775	693	200
776	693	199
777	694	198
778	695	197
779	696	196
780	696	195
781	697	194
782	698	193
783	698	192
784	699	191
785	699	190
786	700	189
787	701	188
788	701	187
789	702	186
790	703	185
791	704	184
792	704	184
793	705	183
794	706	182
795	707	181
796	707	180
797	708	179
798	709	178
799	709	177
800	710	176
801	711	175
802	711	174
803	712	173
804	713	172
805	713	171
806	714	170
807	715	169
808	715	169
809	716	168
810	717	167
811	717	166
812	718	165
813	719	164
814	720	163
815	720	162
816	721	161
817	722	160
818	723	159
819	723	158
820	724	157
821	725	157
822	725	156
823	726	155
824	727	154
825	727	153
826	728	152
827	729	151
828	729	150
829	730	149
830	731	148
831	731	147
832	732	146
833	733	145
834	733	145
